name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,notes,product_url
Miel Extase,"Miel Extase Extrait De Parfum is a sophisticated, statement-making fragrance leaving an intoxicating trail capturing the attention of everyone around.",https://navitusparfums.com/wp-content/uploads/2023/08/Miel-Extase-510x509.jpg,Navitus,"[""apricot"", ""wild honey"", ""dried fruit blend""]","[""saffron"", ""rum absolute"", ""violet wood"", ""ivorian ginger""]","[""brazilian tonka bean"", ""madagascan vanilla"", ""chocolate"", ""caramel"", ""toffee""]",[],https://navitusparfums.com/product/miel-extase/
Emblaze,Emblaze Extrait De Parfum is an illustrious composition that will make the ultimate statement and kindle the sensibilities of those around you. Emblaze is more than a trendsetter; it’s a trailblazer.,https://navitusparfums.com/wp-content/uploads/2021/10/Emblaze-Image-1-510x510.png,Navitus,"[""madagascan pink pepper"", ""indonesian nutmeg"", ""brazilian"", ""roasted coffee""]","[""labdanum"", ""cinnamon"", ""leather"", ""ceylon cardamom""]","[""french flouve absolute"", ""musk"", ""blonde woods"", ""cedarwood""]",[],https://navitusparfums.com/product/emblaze/
Vivamor,Vivamor is a celebration of life and love.,https://navitusparfums.com/wp-content/uploads/2021/01/Vivamor-Image-1-1-510x510.png,Navitus,"[""lemon"", ""pineapple"", ""rosewood"", ""pink peppercorn""]","[""patchouli"", ""oakmoss"", ""rose"", ""saffron""]","[""sandalwood"", ""dark amberwood"", ""leather"", ""musk"", ""21000""]",[],https://navitusparfums.com/product/vivamor-100ml/
Cabana Sunset,"Cabana Sunset Extrait de Parfum is a fragrance that is luscious, luminous and luxurious with exciting notes of lychee, peach, strawberry jam, Madagascan vanilla, vanilla custard accord and green apple granita.",https://navitusparfums.com/wp-content/uploads/2024/07/Cabana-Sunset-1-510x509.jpg,Navitus,"[""lychee"", ""green apple granita"", ""strawberry jam"", ""peach""]","[""coconut"", ""indian tuberose"", ""white flower blend""]","[""vanilla custard accord"", ""madagascan vanilla"", ""amber"", ""musk""]",[],https://navitusparfums.com/product/cabana-sunset-100ml/
Tempt Me Not 100Ml,"Sensual, addictive and indulgent, Tempt Me Not is a show-stopping gourmand.",https://navitusparfums.com/wp-content/uploads/2024/11/Final-Tempt-Me-Not-1-510x510.jpg,Navitus,"[""milk froth"", ""brown sugar""]","[""toffee"", ""caramel"", ""heliotrope""]","[""madagascan vanilla bean"", ""indonesian benzoin"", ""musk"", ""latin american tonka""]",[],https://navitusparfums.com/product/tempt-me-not-100ml/
Lautus,"Esse Quam Videri. Borrowed from the Latin word for “chic” or “elegant,” Lautus is the olfactory expression of unquestionable distinction and unrelenting elegance.",https://navitusparfums.com/wp-content/uploads/2020/03/lautus1-510x510.jpg,Navitus,"[""neroli oil"", ""verbena"", ""lavender"", ""yuzu""]","[""juniper berry"", ""cascarilla"", ""freesia"", ""orris""]","[""ambergris"", ""palisander rosewood"", ""patchouli"", ""sandalwood"", ""musk"", ""vanilla absolute""]",[],https://navitusparfums.com/product/lautus-50ml/
Desir Infini,"A powerful and captivating scent, Desir Infini Extrait de Parfum captures one’s imagination infinitely.",https://navitusparfums.com/wp-content/uploads/2022/12/Desir-Infini-1-510x509.jpg,Navitus,"[""italian lemon"", ""red fruit""]","[""egyptian geranium"", ""saffron""]","[""oud"", ""leather"", ""smoked wood"", ""amber""]",[],https://navitusparfums.com/product/desir-infini-125ml/
Chocolate Queen,"A sensual and addictive potion with notes of dark chocolate, hazelnut, dulce de leche, irish cream, bitter almond, caramel, vanilla, praline and amberwood.",https://navitusparfums.com/wp-content/uploads/2022/11/Chocolate-Queen-510x509.jpg,Navitus,"[""dark chocolate"", ""hazelnut"", ""dulce de leche accord""]","[""chocolate fudge accord"", ""caramel"", ""bitter almond"", ""irish cream""]","[""vanilla absolute"", ""praline"", ""amberwood"", ""sandalwood""]",[],https://navitusparfums.com/product/chocolate-queen/
The	Embrace,"The Embrace is an intense, addictive and seductive scent that combines unique ingredients of Sesame Absolute, Honey, Coffee Absolute and South African almonds, to create a memorable and unique fragrance experience.",https://navitusparfums.com/wp-content/uploads/2021/03/The-Embrace-Image-1-510x510.png,Navitus,"[""italian mandarin"", ""sicilian bergamot"", ""indian sesame absolute""]","[""honey accord"", ""coffee absolute""]","[""virginian cedarwood"", ""haitian vetiver"", ""madagascan vanilla""]",[],https://navitusparfums.com/product/theembrace-100ml/
Absolutio,Veritas nunquam perit. A state of absolution is a state of truthfulness of self. A release from consequence liberates the spirit and allows it to roam without limiting fear.,https://navitusparfums.com/wp-content/uploads/2020/02/bespoke-absolutio-50ml-510x510.jpg,Navitus,[],[],[],"[""candle"", ""travel"", ""gift set"", ""hair"", ""body"", ""topalmond"", ""saffron"", ""cinnamon"", ""heartapple"", ""toffee"", ""baseambergris"", ""oakmoss"", ""caramel""]",https://navitusparfums.com/product/absolutio-50ml/
Reve Nuit,Reve Nuit is a bright yet seductive and mysterious fragrance exuding elegance and modernity.,https://navitusparfums.com/wp-content/uploads/2020/11/Reve-Nuit-Image-1-510x510.png,Navitus,"[""whipped citrus cream accord"", ""tunisian neroli"", ""calabrian bergamot"", ""guatemalan cardamom""]","[""australian blue cypress"", ""indian jasmine"", ""freesia"", ""spanish rosemary""]","[""virginian cedarwood"", ""madagascar vanilla"", ""haitian vetiver"", ""spanish labdanum""]",[],https://navitusparfums.com/product/reve-nuit-100ml/
Exalt Nuit,Exalt Nuit is the epitome of modern luxury and sophistication for those who enjoy the finer things in life.,https://navitusparfums.com/wp-content/uploads/2020/09/Exalt-Nuit-Image-1-510x510.png,Navitus,"[""italian bergamot"", ""cocoa"", ""nutmeg"", ""olibanum"", ""madagascar pepper"", ""anise"", ""indonesian benzoin"", ""cistus"", ""jasmine absolute""]",[],"[""bulgarian tobacco"", ""indonesian patchouli"", ""american cedarwood"", ""haitian vetiver""]",[],https://navitusparfums.com/product/exalt-nuit-100ml/
Soleil Matin,"Soleil Matin is a fresh and invigorating scent opening with a burst of citruses such as Italian mandarin, Mexican lime, Indian lemon, orange and grapefruit followed by spicy and woody notes.",https://navitusparfums.com/wp-content/uploads/2020/11/Soleil-Matin-Image-1-510x510.png,Navitus,"[""italian mandarin"", ""mexican lime"", ""orange"", ""grapefruit"", ""indian lemon""]","[""indian ginger"", ""madagascar pepper"", ""lemon pepper"", ""jasmine""]","[""moroccan cedarwood"", ""ambroxan"", ""musk"", ""indian sandalwood"", ""21000""]",[],https://navitusparfums.com/product/soleil-matin-100ml/
Luxe Absolu,"Designed for those who love unique materials fused with modern accents, Luxe Absolu Extrait de Parfum is crafted around a classy chypre accord.",https://navitusparfums.com/wp-content/uploads/2022/12/Luxe-Absolu-1-510x509.jpg,Navitus,"[""indian ginger"", ""saffron""]","[""turkish rose"", ""italian orris""]","[""laotian oud"", ""new caledonian sandalwood"", ""amber"", ""madagascan vanilla"", ""leather"", ""oakmoss""]",[],https://navitusparfums.com/product/luxe-absolu-125ml/
Amour Infinite,Amour Infinite is a fragrance that is modern and elegant exuding romance and sophistication.,https://navitusparfums.com/wp-content/uploads/2024/06/Amour-Infinite-1-510x509.jpg,Navitus,"[""italian bergamot"", ""red fruit"", ""pomegranate"", ""pineapple"", ""grapefruit""]","[""orange blossom"", ""honeysuckle"", ""rose"", ""jasmine""]","[""white chocolate"", ""madagascan vanilla"", ""heliotrope"", ""driftwood"", ""sandalwood"", ""21000""]",[],https://navitusparfums.com/product/amour-infinite/
Soir Exclusif,"Soir Exclusif is an exquisite, intimate, delicate blend of blood oranges, licorice, marshmallow, and coffee with woody notes and creamy notes providing an exotic base of seduction. Awaken your senses.",https://navitusparfums.com/wp-content/uploads/2020/09/Soir-Exclusif-Image-1-510x510.png,Navitus,"[""almond"", ""blood orange"", ""coffee"", ""brazilian orange"", ""marshmallow"", ""licorice"", ""orchid"", ""french tonka bean""]",[],"[""vanilla"", ""tolu balsam"", ""ambergris"", ""driftwood"", ""musk"", ""oakwood""]",[],https://navitusparfums.com/product/soir-exclusif-100ml/
Atardecer,"Atardecer, meaning sunset in Spanish, is a fragrance composed with unique Mexican ingredients and special Ouds including Mexican tuberose, Papantla vanilla, Chiapas coffee, Veracruz tobacco and an Oud trifecta using Laotian Oud, Bangladeshi Oud and Indian Oud supported by cool and mineral accords of wet earth, smoke, leather and cedar.",https://navitusparfums.com/wp-content/uploads/2024/10/Image-1-510x510.png,Navitus,"[""green fig"", ""violet leaf"", ""mexican tuberose""]","[""laotian oud"", ""indian oud"", ""bangladesh oud"", ""smoke"", ""wet soil"", ""leather"", ""cedar""]","[""papantla vanilla"", ""chiapas coffee"", ""veracruz tobacco"", ""oakmoss""]",[],https://navitusparfums.com/product/atardecer/
Creme Imperiale,"Creme Imperiale is an alluring, addictive, captivating yet elegant signature-worthy fragrance.",https://navitusparfums.com/wp-content/uploads/2021/06/Creme-Imperiale-Image-1-510x510.png,Navitus,"[""sicilian lemon"", ""indian jasmine sambac""]","[""plum"", ""iris"", ""ceylon cinnamon"", ""turkish rose"", ""egyptian geranium""]","[""velvet jasmine accord"", ""guaiacwood"", ""laotian"", ""benzoin"", ""virginian cedarwood""]",[],https://navitusparfums.com/product/creme-imperiale-100ml/
Verve Matin,"Verve Matin is a unique take on a fresh fragrance. Cardamom, saffron, and cinnamon serve as a trifecta of spices transfused with lavender and citruses creating a provocative, intoxicating, spicy-fresh composition.",https://navitusparfums.com/wp-content/uploads/2020/09/Verve-Matin-Image-1-510x510.png,Navitus,"[""sicilian lemon"", ""orange"", ""bergamot"", ""grapefruit"", ""lemon"", ""cardamom""]","[""laurel"", ""clary sage"", ""juniper berry"", ""saffron""]","[""cinnamon"", ""ambergris"", ""myrrh"", ""musk"", ""driftwood""]",[],https://navitusparfums.com/product/verve-matin/
Champagne Royale,"Champagne Royale is an uplifting, signature-worthy fragrance that will work for nearly every occasion. A fragrance that is sophisticated yet fresh, making the wearer feel confident and magnetic.",https://navitusparfums.com/wp-content/uploads/2021/06/Champagne-Royale-Image-1-510x510.png,Navitus,"[""sicilian lemon"", ""italian mandarin"", ""french champagne accord"", ""madagascan ginger""]","[""plum"", ""iris"", ""cypress"", ""ceylon cinnamon"", ""nutmeg"", ""egyptian geranium""]","[""canadian fir balsam"", ""guaiacwood"", ""virginian cedarwood"", ""leather"", ""21000""]",[],https://navitusparfums.com/product/champagne-royale/
Nuit Royale,"Nuit Royale Extrait de Parfum is for the selected few, those who will carry themselves confidently into a royal night. The fragrance spotlights precious ingredients in fine perfumery including oud, saffron and incense.",https://navitusparfums.com/wp-content/uploads/2022/12/Nuit-Royale-1-510x509.jpg,Navitus,"[""saffron"", ""incense"", ""egyptian geranium""]","[""moroccan rose"", ""raspberry"", ""amberwood""]","[""oud wood"", ""birch tar"", ""siam benzoin""]",[],https://navitusparfums.com/product/nuit-royale-125ml/
Elation,"Elation is an addictive, uplifting, sophisticated signature-worthy fragrance that will work for nearly every occasion.",https://navitusparfums.com/wp-content/uploads/2020/09/Elation-Image-1-510x510.png,Navitus,"[""bergamot"", ""lime"", ""clementine"", ""pomelo"", ""brazilian orange"", ""yuzu"", ""litsea cubeba""]","[""geranium"", ""lavender"", ""petitgrain"", ""clary sage"", ""juniper berry""]","[""chypre accord"", ""moss"", ""indonesian patchouli"", ""amberwood"", ""spanish nutmeg"", ""musk"", ""driftwood""]",[],https://navitusparfums.com/product/elation-100ml/
Xo Brandy,"XO Brandy Extrait De Parfum is a seductive fragrance making the wearer feel sexy, captivating and magnetic.",https://navitusparfums.com/wp-content/uploads/2021/11/Xo-Brandy-Image-1-510x510.png,Navitus,"[""indian davana"", ""african almond"", ""date fruit""]","[""brandy accord"", ""african coffee absolute"", ""heliotrope"", ""virginian cedarwood""]","[""cane sugar"", ""new caledonian sandalwood"", ""indonesian patchouli"", ""southern american tolu balsam""]",[],https://navitusparfums.com/product/xo-brandy/
Divine Aphrodisiac,"Divine Aphrodisiac Extrait De Parfum is a fragrance that is decadent, enticing and sensual. Full of contrast, Divine Aphrodisiac is both enigmatic and mysterious.",https://navitusparfums.com/wp-content/uploads/2022/07/Divine-Aphrodisiac-Image-1-510x510.png,Navitus,"[""indian sesame"", ""bitter almond"", ""ceylon cinnamon""]","[""moroccan iris butter"", ""peanut butter accord""]","[""praline"", ""coffee haitian vetiver"", ""java vetiver""]",[],https://navitusparfums.com/product/divine-aphrodisiac/
Carte Blanche,"Carte Blanche is a unique all year fragrance opening with a unique freshness of Italian mandarin, Sicilian Bergamot, Guatemalan cardamom and an agrest accord combined with the warmth of grilled almonds, driftwood, benzoin, vanilla and other ingredients.",https://navitusparfums.com/wp-content/uploads/2021/03/Carte-Blanche-Image-1-510x510.png,Navitus,"[""italian mandarin"", ""sicilian bergamot"", ""guatemalan cardamom"", ""agrest accord""]","[""grilled almond"", ""benzoin"", ""driftwood"", ""java vetiver""]","[""indonesian patchouli"", ""madagascan vanilla"", ""peru balsam"", ""musk"", ""ambergris""]",[],https://navitusparfums.com/product/carte-blanche-100ml/
Primas,"Semper paratus. Whether in body or mind, a readiness to adapt is a skill requisite for success. Primas is the beginning, and it signals the start of a new journey.",https://navitusparfums.com/wp-content/uploads/2019/10/Primas-100ml-Image-1-510x510.png,Navitus,"[""bergamot"", ""green mango"", ""grapefruit"", ""rosewood""]","[""patchouli"", ""jasmine"", ""cedarwood""]","[""oakmoss"", ""labdanum"", ""dark amberwood"", ""musk"", ""21000""]",[],https://navitusparfums.com/product/primas/
Venom Of Love,"Venom Of Love Extrait De Parfum is a seductive, sultry and sensual potion which is addictive and enticing.",https://navitusparfums.com/wp-content/uploads/2022/08/Venom-of-Love-510x509.jpg,Navitus,"[""cherry brandy"", ""bitter almond""]","[""chocolate cherry"", ""turkish rose absolute"", ""egyptian jasmine absolute""]","[""almond cream"", ""vanilla"", ""amberwood"", ""21000""]",[],https://navitusparfums.com/product/venom-of-love/
Aura Ultime,"Distinguished and sophisticated, Aura Ultime creates the perfect aura around you to make the ultimate impression.",https://navitusparfums.com/wp-content/uploads/2022/12/Aura-Ultime-1-510x509.jpg,Navitus,"[""mexican lime"", ""spanish cypress"", ""brazilian copahu""]","[""turkish coffee"", ""indonesian nutmeg"", ""new"", ""caledonian sandalwood""]","[""brazilian guaiacwood"", ""amberwood"", ""cashmere musk"", ""oakmoss""]",[],https://navitusparfums.com/product/aura-ultime-125ml/
Oud Imperium,"Per aspera, ad astra. In this olfactory tale, Oud is the protagonist on his epic journey towards a most triumphant finale.",https://navitusparfums.com/wp-content/uploads/2019/10/Oud-Imperium-OC-Image-1-scaled-1-1-510x395.jpg,Navitus,"[""apple"", ""lavender"", ""lemon""]",[],"[""natural oud"", ""amber"", ""nagarmotha"", ""guaiac"", ""tonka bean"", ""musk"", ""sandalwood""]",[],https://navitusparfums.com/product/oud-imperium/
